id,parent_id,code,description,level
block:G10,chapter:G,G10,Block G10,block
block:G11,chapter:G,G11,Block G11,block
block:G12,chapter:G,G12,Block G12,block
block:G13,chapter:G,G13,Block G13,block
block:G20,chapter:G,G20,Block G20,block
block:G21,chapter:G,G21,Block G21,block
block:G22,chapter:G,G22,Block G22,block
block:G23,chapter:G,G23,Block G23,block
block:G24,chapter:G,G24,Block G24,block
block:G25,chapter:G,G25,Block G25,block
block:G26,chapter:G,G26,Block G26,block
block:G30,chapter:G,G30,Block G30,block
block:G31,chapter:G,G31,Block G31,block
block:G32,chapter:G,G32,Block G32,block
block:G35,chapter:G,G35,Block G35,block
block:G36,chapter:G,G36,Block G36,block
block:G37,chapter:G,G37,Block G37,block
block:G40,chapter:G,G40,Block G40,block
block:G41,chapter:G,G41,Block G41,block
block:G43,chapter:G,G43,Block G43,block
block:G44,chapter:G,G44,Block G44,block
block:G45,chapter:G,G45,Block G45,block
block:G46,chapter:G,G46,Block G46,block
block:G47,chapter:G,G47,Block G47,block
block:G50,chapter:G,G50,Block G50,block
block:G51,chapter:G,G51,Block G51,block
block:G52,chapter:G,G52,Block G52,block
block:G53,chapter:G,G53,Block G53,block
block:G54,chapter:G,G54,Block G54,block
block:G55,chapter:G,G55,Block G55,block
block:G56,chapter:G,G56,Block G56,block
block:G57,chapter:G,G57,Block G57,block
block:G58,chapter:G,G58,Block G58,block
block:G59,chapter:G,G59,Block G59,block
block:G60,chapter:G,G60,Block G60,block
block:G61,chapter:G,G61,Block G61,block
block:G62,chapter:G,G62,Block G62,block
block:G63,chapter:G,G63,Block G63,block
block:G64,chapter:G,G64,Block G64,block
block:G70,chapter:G,G70,Block G70,block
block:G71,chapter:G,G71,Block G71,block
block:G72,chapter:G,G72,Block G72,block
block:G73,chapter:G,G73,Block G73,block
block:G80,chapter:G,G80,Block G80,block
block:G81,chapter:G,G81,Block G81,block
block:G82,chapter:G,G82,Block G82,block
block:G83,chapter:G,G83,Block G83,block
block:G90,chapter:G,G90,Block G90,block
block:G91,chapter:G,G91,Block G91,block
block:G92,chapter:G,G92,Block G92,block
block:G93,chapter:G,G93,Block G93,block
block:G94,chapter:G,G94,Block G94,block
block:G95,chapter:G,G95,Block G95,block
block:G96,chapter:G,G96,Block G96,block
block:G97,chapter:G,G97,Block G97,block
block:G98,chapter:G,G98,Block G98,block
block:G99,chapter:G,G99,Block G99,block
block:H00,chapter:H,H00,Block H00,block
block:H01,chapter:H,H01,Block H01,block
block:H02,chapter:H,H02,Block H02,block
block:H03,chapter:H,H03,Block H03,block
block:H04,chapter:H,H04,Block H04,block
block:H05,chapter:H,H05,Block H05,block
block:H06,chapter:H,H06,Block H06,block
block:H10,chapter:H,H10,Block H10,block
block:H11,chapter:H,H11,Block H11,block
block:H13,chapter:H,H13,Block H13,block
block:H15,chapter:H,H15,Block H15,block
block:H16,chapter:H,H16,Block H16,block
block:H17,chapter:H,H17,Block H17,block
block:H18,chapter:H,H18,Block H18,block
block:H19,chapter:H,H19,Block H19,block
block:H20,chapter:H,H20,Block H20,block
block:H21,chapter:H,H21,Block H21,block
block:H22,chapter:H,H22,Block H22,block
block:H25,chapter:H,H25,Block H25,block
block:H26,chapter:H,H26,Block H26,block
block:H27,chapter:H,H27,Block H27,block
block:H28,chapter:H,H28,Block H28,block
block:H30,chapter:H,H30,Block H30,block
block:H31,chapter:H,H31,Block H31,block
block:H32,chapter:H,H32,Block H32,block
block:H33,chapter:H,H33,Block H33,block
block:H34,chapter:H,H34,Block H34,block
block:H35,chapter:H,H35,Block H35,block
block:H36,chapter:H,H36,Block H36,block
block:H40,chapter:H,H40,Block H40,block
block:H42,chapter:H,H42,Block H42,block
block:H43,chapter:H,H43,Block H43,block
block:H44,chapter:H,H44,Block H44,block
block:H45,chapter:H,H45,Block H45,block
block:H46,chapter:H,H46,Block H46,block
block:H47,chapter:H,H47,Block H47,block
block:H48,chapter:H,H48,Block H48,block
block:H49,chapter:H,H49,Block H49,block
block:H50,chapter:H,H50,Block H50,block
block:H51,chapter:H,H51,Block H51,block
block:H52,chapter:H,H52,Block H52,block
block:H53,chapter:H,H53,Block H53,block
block:H54,chapter:H,H54,Block H54,block
block:H55,chapter:H,H55,Block H55,block
block:H57,chapter:H,H57,Block H57,block
block:H58,chapter:H,H58,Block H58,block
block:H59,chapter:H,H59,Block H59,block
block:H60,chapter:H,H60,Block H60,block
block:H61,chapter:H,H61,Block H61,block
block:H62,chapter:H,H62,Block H62,block
block:H65,chapter:H,H65,Block H65,block
block:H66,chapter:H,H66,Block H66,block
block:H67,chapter:H,H67,Block H67,block
block:H68,chapter:H,H68,Block H68,block
block:H69,chapter:H,H69,Block H69,block
block:H70,chapter:H,H70,Block H70,block
block:H71,chapter:H,H71,Block H71,block
block:H72,chapter:H,H72,Block H72,block
block:H73,chapter:H,H73,Block H73,block
block:H74,chapter:H,H74,Block H74,block
block:H75,chapter:H,H75,Block H75,block
